id,name,category,alcoholic,instructions,ingredients
122,Sazerac,"Ordinary Drink",Alcoholic,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.","Ricard, Sugar, Peychaud bitters, Water, Bourbon, Lemon peel"
123,Almeria,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","Dark rum, Kahlua, Egg white"
124,Addison,Cocktail,Alcoholic,"Shake together all the ingredients and strain into a cold glass.","Gin, Vermouth"
125,Vampiro,"Ordinary Drink",Alcoholic,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first "rim" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.","Tequila, Tomato Juice, Orange Juice, Lime Juice, Sugar Syrup, Salt"
126,ABC,Shot,Alcoholic,"Layered in a shot glass.","Amaretto, Baileys irish cream, Cognac"
127,B-53,Shot,Alcoholic,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52","Kahlua, Sambuca, Grand Marnier"
128,B-52,Shot,Alcoholic,"Layer ingredients into a shot glass. Serve with a stirrer.","Baileys irish cream, Grand Marnier, Kahlua"
129,Derby,"Ordinary Drink",Alcoholic,"Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.","gin, Peach Bitters, Mint"
130,Bijou,Cocktail,Alcoholic,"Stir in mixing glass with ice and strain
","Orange Bitters, Green Chartreuse, Gin, Sweet Vermouth"
131,Zombie,Cocktail,Alcoholic,"Blend at high speed for no more than 5 seconds.

Pour into a glass, add ice cubes to fill, then add the garnish.

*Donn’s mix: Bring 3 crushed cinnamon sticks, 1 cup of sugar and 1 cup of water to a boil, stirring until the sugar is dissolved.

Simmer for 2 minutes, then remove from the heat and let sit for at least 2 hours before straining into a clean glass bottle.

Then add 1 part of the syrup and 2 parts of fresh grapefruit juice together.","Rum, Gold rum, 151 proof rum, Pernod, Grenadine, Lime Juice, Angostura Bitters"
132,Boxcar,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.","Gin, Triple sec, Lemon juice, Grenadine, Egg white"
133,Abilene,"Ordinary Drink",Alcoholic,"Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.","Dark rum, Peach nectar, Orange juice"
134,Zambeer,"Soft Drink",Alcoholic,"Mix sambuca with rootbeer and stir. Add ice","Sambuca, Root beer, Ice"
135,Bramble,"Ordinary Drink",Alcoholic,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.","Gin, lemon juice, Sugar syrup, Creme de Mure"
136,"Big Red",Shot,Alcoholic,"Pour ingredients into 1 ounce shot glass","Irish cream, Goldschlager"
137,Bellini,"Ordinary Drink",Alcoholic,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.","Champagne, Peach schnapps"
138,Brooklyn,Cocktail,Alcoholic,"Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.","Rye Whiskey, Dry Vermouth, Maraschino Liqueur, Angostura Bitters, Maraschino Cherry"
139,Balmoral,"Ordinary Drink",Alcoholic,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","Scotch, Sweet Vermouth, Dry Vermouth, Bitters"
140,Snowball,"Ordinary Drink",Alcoholic,"Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.","Advocaat, Lemonade, Lemon, Ice"
141,Danbooka,"Coffee / Tea",Alcoholic,"pour it in and mix it.","Coffee, Everclear"
142,Bluebird,"Ordinary Drink",Alcoholic,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.","Gin, Triple sec, Blue Curacao, Bitters, Maraschino cherry, Lemon peel"
143,"501 Blue","Ordinary Drink",Alcoholic,"Mix equal amounts into a glass with ice.","Blue Curacao, Blueberry schnapps, Vodka, Sour mix, 7-Up"
144,"Pegu Club",Cocktail,Alcoholic,"Shake, strain, up, cocktail glass","Gin, Orange Curacao, Lime Juice, Angostura Bitters, Orange Bitters"
145,"Old Cuban",Cocktail,Alcoholic,"Shake a handful of mint, 2oz white rum, 1oz of sugar syrup, 1oz lime juice and 2 dashes angostura bitters with ice. Double strain into a glass and top with 2oz of prosecco.","White Rum, Sugar Syrup, Lime Juice, Angostura Bitters, Prosecco"
146,Boomerang,"Ordinary Drink",Alcoholic,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.","Gin, Dry Vermouth, Bitters, Maraschino liqueur, Maraschino cherry"
147,Barracuda,"Ordinary Drink",Alcoholic,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.","Rum, Galliano, Pineapple Juice, Lime Juice, Prosecco"
148,"Bora Bora",Cocktail,"Non alcoholic","Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.","Pineapple juice, Passion fruit juice, Lemon juice, Grenadine"
149,"Lunch Box",Beer,Alcoholic,"Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.","Beer, Amaretto, Orange juice"
150,Jitterbug,Cocktail,Alcoholic,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!","Gin, Vodka, Grenadine, Lime juice, Sugar, Sugar syrup, Soda water"
151,Ace,Cocktail,Alcoholic,"Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.","Gin, Grenadine, Heavy cream, Milk, Egg White"
152,ABC,Shot,Alcoholic,"Layered in a shot glass.","Amaretto, Baileys irish cream, Cognac"
153,ACID,Shot,Alcoholic,"Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.","151 proof rum, Wild Turkey"
154,Boxcar,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.","Gin, Triple sec, Lemon juice, Grenadine, Egg white"
155,Casino,"Ordinary Drink",Alcoholic,"Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.","Gin, Maraschino liqueur, Lemon juice, Orange bitters, Cherry"
156,Victor,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Gin, Sweet Vermouth, Brandy"
157,Scooter,"Ordinary Drink",Alcoholic,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.","Brandy, Amaretto, Light cream"
158,Sidecar,"Ordinary Drink",Alcoholic,"Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.","Cognac, Cointreau, Lemon juice"
159,Sazerac,"Ordinary Drink",Alcoholic,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.","Ricard, Sugar, Peychaud bitters, Water, Bourbon, Lemon peel"
160,Acapulco,"Ordinary Drink",Alcoholic,"Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.","Light rum, Triple sec, Lime juice, Sugar, Egg white, Mint"
161,"Ice Pick","Ordinary Drink",Alcoholic,"Put Vodka in glass fill with iced tea. Stir in lemon to taste.","Vodka, Iced tea, Lemon juice"
162,Applecar,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Applejack, Triple sec, Lemon juice"
163,"Spice 75",Cocktail,Alcoholic,"Gently warm 60g golden caster sugar in a pan with 30ml water and 1 tbsp allspice. Cook gently until the sugar has dissolved, then leave the mixture to cool. Strain through a sieve lined with a coffee filter (or a double layer of kitchen paper).

Pour 60ml of the spiced syrup into a cocktail shaker along with 200ml rum and 90ml lime juice. Shake with ice and strain between six flute glasses. Top up with 600ml champagne and garnish each with an orange twist.","Sugar, Allspice, Rum, Lime Juice, Champagne, Orange spiral"
164,Godchild,"Ordinary Drink",Alcoholic,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.","Vodka, Amaretto, Heavy cream"
165,Buccaneer,Beer,Alcoholic,"Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently","Corona, Bacardi Limon"
166,Applejack,Cocktail,Alcoholic,"Add all ingredients into mixing glass, chill and strain into cocktail glass","Jack Daniels, Midori melon liqueur, Sour mix"
167,"Old Cuban",Cocktail,Alcoholic,"Shake a handful of mint, 2oz white rum, 1oz of sugar syrup, 1oz lime juice and 2 dashes angostura bitters with ice. Double strain into a glass and top with 2oz of prosecco.","White Rum, Sugar Syrup, Lime Juice, Angostura Bitters, Prosecco"
168,Americano,"Ordinary Drink",Alcoholic,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.","Campari, Sweet Vermouth, Lemon peel, Orange peel"
169,"Pegu Club",Cocktail,Alcoholic,"Shake, strain, up, cocktail glass","Gin, Orange Curacao, Lime Juice, Angostura Bitters, Orange Bitters"
170,Barracuda,"Ordinary Drink",Alcoholic,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.","Rum, Galliano, Pineapple Juice, Lime Juice, Prosecco"
171,"French 75","Ordinary Drink",Alcoholic,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.","Gin, Sugar, Lemon juice, Champagne, Orange, Maraschino cherry"
172,"Egg Cream","Other / Unknown","Non alcoholic","Mix syrup and milk in a fountain glass. Add soda water, serve with a straw.","Chocolate syrup, Milk, Soda water"
173,Michelada,Cocktail,Alcoholic,"Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.
Served In a chilled, salt-rimmed glass
","Beer, Tomato Juice, Lime Juice, Hot Sauce, Worcestershire Sauce, Soy Sauce"
174,Avalanche,Shake,Alcoholic,"Mix in highball glass over ice, shake well.","Crown Royal, Kahlua, Cream"
175,"Rum Punch","Punch / Party Drink",Alcoholic,"Mix all ingredients in a punch bowl and serve.","Rum, Ginger ale, Fruit punch, Orange juice, Ice"
176,H.D.,"Coffee / Tea",Alcoholic,"Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.","Whisky, Baileys irish cream, Coffee"
177,ACID,Shot,Alcoholic,"Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.","151 proof rum, Wild Turkey"
178,Adam,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","Dark rum, Lemon juice, Grenadine"
179,Derby,"Ordinary Drink",Alcoholic,"Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.","gin, Peach Bitters, Mint"
180,Diesel,Beer,Alcoholic,"Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.","Lager, Cider, Blackcurrant cordial"
181,Radler,"Ordinary Drink",Alcoholic,"Pour beer into large mug, slowly add the 7-up (or Sprite).","Beer, 7-Up"
182,Snowday,Cocktail,Alcoholic,"Stir all ingredients with ice. Strain into a chilled rocks glass over fresh ice. Express orange peel over drink and garnish.","Vodka, Amaro Montenegro, Ruby Port, Blood Orange, Angostura Bitters, Orange Peel"
183,Limeade,"Other / Unknown","Non alcoholic","In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.","Lime, Sugar, Soda water, Lime peel"
184,Sidecar,"Ordinary Drink",Alcoholic,"Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.","Cognac, Cointreau, Lemon juice"
185,Addison,Cocktail,Alcoholic,"Shake together all the ingredients and strain into a cold glass.","Gin, Vermouth"
186,"Old Pal",Cocktail,Alcoholic,"Chill cocktail glass. Add ingredients to a mixing glass, and fill 2/3 full with ice. Stir about 20 seconds. Empty cocktail glass and strain into the glass. Garnish with a twist of lemon peel.","Rye whiskey, Campari, Dry Vermouth"
187,"Big Red",Shot,Alcoholic,"Pour ingredients into 1 ounce shot glass","Irish cream, Goldschlager"
188,Daiquiri,"Ordinary Drink",Alcoholic,"Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.","Light rum, Lime, Powdered sugar"
189,Paradise,"Ordinary Drink",Alcoholic,"Shake together over ice. Strain into cocktail glass and serve chilled.","Gin, Apricot Brandy, Orange Juice"
190,Bluebird,"Ordinary Drink",Alcoholic,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.","Gin, Triple sec, Blue Curacao, Bitters, Maraschino cherry, Lemon peel"
191,Danbooka,"Coffee / Tea",Alcoholic,"pour it in and mix it.","Coffee, Everclear"
192,Godchild,"Ordinary Drink",Alcoholic,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.","Vodka, Amaretto, Heavy cream"
193,"Salty Dog","Ordinary Drink",Alcoholic,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)","Grapefruit juice, Gin, Salt"
194,Orangeade,Cocktail,"Non alcoholic","Place some ice cubes in a large tumbler or highball glass, add lemon juice, orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw.","Lemon juice, Orange juice, Sugar syrup, Soda water"
195,Alexander,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.","Gin, Creme de Cacao, Light cream, Nutmeg"
196,Addington,Cocktail,Alcoholic,"Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ","Sweet Vermouth, Dry Vermouth, Soda Water"
197,"Old Cuban",Cocktail,Alcoholic,"Shake a handful of mint, 2oz white rum, 1oz of sugar syrup, 1oz lime juice and 2 dashes angostura bitters with ice. Double strain into a glass and top with 2oz of prosecco.","White Rum, Sugar Syrup, Lime Juice, Angostura Bitters, Prosecco"
198,"Rum Toddy","Ordinary Drink",Alcoholic,"Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.","Rum, Powdered sugar, Lemon peel, Water"
199,Barracuda,"Ordinary Drink",Alcoholic,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.","Rum, Galliano, Pineapple Juice, Lime Juice, Prosecco"
200,"Jam Donut",Shot,Alcoholic,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.","Baileys irish cream, Chambord raspberry liqueur, Sugar syrup, Sugar"
201,Ace,Cocktail,Alcoholic,"Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.","Gin, Grenadine, Heavy cream, Milk, Egg White"
202,Rose,"Ordinary Drink",Alcoholic,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.","Dry Vermouth, Gin, Apricot brandy, Lemon juice, Grenadine, Powdered sugar"
203,Melya,"Coffee / Tea","Non alcoholic","Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.","Espresso, Honey, Cocoa powder"
204,Derby,"Ordinary Drink",Alcoholic,"Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.","gin, Peach Bitters, Mint"
205,Radler,"Ordinary Drink",Alcoholic,"Pour beer into large mug, slowly add the 7-up (or Sprite).","Beer, 7-Up"
206,Zombie,Cocktail,Alcoholic,"Blend at high speed for no more than 5 seconds.

Pour into a glass, add ice cubes to fill, then add the garnish.

*Donn’s mix: Bring 3 crushed cinnamon sticks, 1 cup of sugar and 1 cup of water to a boil, stirring until the sugar is dissolved.

Simmer for 2 minutes, then remove from the heat and let sit for at least 2 hours before straining into a clean glass bottle.

Then add 1 part of the syrup and 2 parts of fresh grapefruit juice together.","Rum, Gold rum, 151 proof rum, Pernod, Grenadine, Lime Juice, Angostura Bitters"
207,Diesel,Beer,Alcoholic,"Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.","Lager, Cider, Blackcurrant cordial"
208,Zinger,"Soft Drink",Alcoholic,"Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.","Peachtree schnapps, Surge"
209,Frosé,Cocktail,Alcoholic,"Step 1
Pour rosé into a 13x9" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead.","Rose, Sugar, Strawberries, Lemon Juice"
210,Zoksel,"Soft Drink",Alcoholic,"No specific mixing instructions, just poor every ingredient in one glass. The lemon goes with it.","Beer, Root beer, Lemonade, Coca-Cola, 7-Up, Creme de Cassis, Lemon"
211,Vesper,Cocktail,Alcoholic,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.","Gin, Vodka, Lillet Blanc"
212,Gimlet,Cocktail,Alcoholic,"Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.","Gin, Lime Juice, Sugar Syrup, Lime"
213,Apello,"Other / Unknown","Non alcoholic","Stirr. Grnish with maraschino cherry.","Orange juice, Grapefruit juice, Apple juice, Maraschino cherry"
214,Sazerac,"Ordinary Drink",Alcoholic,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.","Ricard, Sugar, Peychaud bitters, Water, Bourbon, Lemon peel"
215,Veteran,"Ordinary Drink",Alcoholic,"Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.","Dark rum, Cherry brandy"
216,Stinger,"Ordinary Drink",Alcoholic,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.","Brandy, White Creme de Menthe"
217,Ipamena,"Ordinary Drink","Non alcoholic","Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime","Lime, Brown sugar, Passion fruit juice, Ginger ale, Ice"
218,Bellini,"Ordinary Drink",Alcoholic,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.","Champagne, Peach schnapps"
219,Bramble,"Ordinary Drink",Alcoholic,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.","Gin, lemon juice, Sugar syrup, Creme de Mure"
220,Scooter,"Ordinary Drink",Alcoholic,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.","Brandy, Amaretto, Light cream"
221,Almeria,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","Dark rum, Kahlua, Egg white"
222,Vesuvio,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.","Light rum, Sweet Vermouth, Lemon, Powdered sugar, Egg white"
223,Sidecar,"Ordinary Drink",Alcoholic,"Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.","Cognac, Cointreau, Lemon juice"
224,Limeade,"Other / Unknown","Non alcoholic","In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.","Lime, Sugar, Soda water, Lime peel"
225,Zambeer,"Soft Drink",Alcoholic,"Mix sambuca with rootbeer and stir. Add ice","Sambuca, Root beer, Ice"
226,Frosé,Cocktail,Alcoholic,"Step 1
Pour rosé into a 13x9" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead.","Rose, Sugar, Strawberries, Lemon Juice"
227,Affair,"Ordinary Drink",Alcoholic,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.","Strawberry schnapps, Orange juice, Cranberry juice, Club soda"
228,Frappé,"Coffee / Tea","Non alcoholic","Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing.","Coffee, Milk, Sugar"
229,Affinity,"Ordinary Drink",Alcoholic,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","Scotch, Sweet Vermouth, Dry Vermouth, Orange bitters"
230,"Gin Fizz","Ordinary Drink",Alcoholic,"Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.","Gin, Lemon, Powdered sugar, Carbonated water"
231,"After sex","Ordinary Drink",Alcoholic,"Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar","Vodka, Creme de Banane, Orange juice"
