Cocktail Name,MidJourney Prompt
Affair,"Flat lay, vintage speakeasy style. High-quality photo of a Affair, served in a cocktail glass, featuring Fruité, sucré notes. Made with Strawberry schnapps, Orange juice, Cranberry juice, Club soda. Instructions: Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Radler,"Flat lay, vintage speakeasy style. High-quality photo of a Radler, served in a cocktail glass, featuring Fruité notes. Made with Beer, 7-Up. Instructions: Pour beer into large mug, slowly add the 7-up (or Sprite).. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Paloma,"Flat lay, vintage speakeasy style. High-quality photo of a Paloma, served in a cocktail glass, featuring Fruité notes. Made with Grape Soda, Tequila. Instructions: Stir together and serve over ice.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Boxcar,"Flat lay, vintage speakeasy style. High-quality photo of a Boxcar, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Gin, Triple sec, Lemon juice, Grenadine, Egg white. Instructions: In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Mimosa,"Flat lay, vintage speakeasy style. High-quality photo of a Mimosa, served in a cocktail glass, featuring Fruité, sucré notes. Made with Champagne, Orange juice. Instructions: Ensure both ingredients are well chilled, then mix into the glass. Serve cold.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Avalon,"Flat lay, vintage speakeasy style. High-quality photo of a Avalon, served in a cocktail glass, featuring Fruité, sucré notes. Made with Vodka, Pisang Ambon, Apple juice, Lemon juice, Lemonade. Instructions: Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Apello,"Flat lay, vintage speakeasy style. High-quality photo of a Apello, served in a cocktail glass, featuring Fruité, sucré notes. Made with Orange juice, Grapefruit juice, Apple juice, Maraschino cherry. Instructions: Stirr. Grnish with maraschino cherry.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Orgasm,"Flat lay, vintage speakeasy style. High-quality photo of a Orgasm, served in a cocktail glass, featuring Crémeux notes. Made with Creme de Cacao, Amaretto, Triple sec, Vodka, Light cream. Instructions: Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Ipamena,"Flat lay, vintage speakeasy style. High-quality photo of a Ipamena, served in a cocktail glass, featuring Acide, épicé, sucré, épicé notes. Made with Lime, Brown sugar, Passion fruit juice, Ginger ale, Ice. Instructions: Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Zambeer,"Flat lay, vintage speakeasy style. High-quality photo of a Zambeer, served in a cocktail glass, featuring Fruité notes. Made with Sambuca, Root beer, Ice. Instructions: Mix sambuca with rootbeer and stir. Add ice. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Bramble,"Flat lay, vintage speakeasy style. High-quality photo of a Bramble, served in a cocktail glass, featuring Crémeux, sucré notes. Made with Gin, lemon juice, Sugar syrup, Creme de Mure. Instructions: Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Sazerac,"Flat lay, vintage speakeasy style. High-quality photo of a Sazerac, served in a cocktail glass, featuring Fumé, sucré notes. Made with Ricard, Sugar, Peychaud bitters, Water, Bourbon, Lemon peel. Instructions: Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Almeria,"Flat lay, vintage speakeasy style. High-quality photo of a Almeria, served in a cocktail glass, featuring Fruité notes. Made with Dark rum, Kahlua, Egg white. Instructions: In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Addison,"Flat lay, vintage speakeasy style. High-quality photo of a Addison, served in a cocktail glass, featuring Amer notes. Made with Gin, Vermouth. Instructions: Shake together all the ingredients and strain into a cold glass.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Vampiro,"Flat lay, vintage speakeasy style. High-quality photo of a Vampiro, served in a cocktail glass, featuring Acide, sucré, salé notes. Made with Tequila, Tomato Juice, Orange Juice, Lime Juice, Sugar Syrup, Salt. Instructions: Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
ABC,"Flat lay, vintage speakeasy style. High-quality photo of a ABC, served in a cocktail glass, featuring Crémeux notes. Made with Amaretto, Baileys irish cream, Cognac. Instructions: Layered in a shot glass.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
B-53,"Flat lay, vintage speakeasy style. High-quality photo of a B-53, served in a cocktail glass, featuring Fruité notes. Made with Kahlua, Sambuca, Grand Marnier. Instructions: Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
B-52,"Flat lay, vintage speakeasy style. High-quality photo of a B-52, served in a cocktail glass, featuring Crémeux notes. Made with Baileys irish cream, Grand Marnier, Kahlua. Instructions: Layer ingredients into a shot glass. Serve with a stirrer.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Derby,"Flat lay, vintage speakeasy style. High-quality photo of a Derby, served in a cocktail glass, featuring Fruité notes. Made with gin, Peach Bitters, Mint. Instructions: Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Bijou,"Flat lay, vintage speakeasy style. High-quality photo of a Bijou, served in a cocktail glass, featuring Amer, sucré notes. Made with Orange Bitters, Green Chartreuse, Gin, Sweet Vermouth. Instructions: Stir in mixing glass with ice and strain
. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Zombie,"Flat lay, vintage speakeasy style. High-quality photo of a Zombie, served in a cocktail glass, featuring Acide, sucré, sucré notes. Made with Rum, Gold rum, 151 proof rum, Pernod, Grenadine, Lime Juice, Angostura Bitters. Instructions: Blend at high speed for no more than 5 seconds.

Pour into a glass, add ice cubes to fill, then add the garnish.

*Donn’s mix: Bring 3 crushed cinnamon sticks, 1 cup of sugar and 1 cup of water to a boil, stirring until the sugar is dissolved.

Simmer for 2 minutes, then remove from the heat and let sit for at least 2 hours before straining into a clean glass bottle.

Then add 1 part of the syrup and 2 parts of fresh grapefruit juice together.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Boxcar,"Flat lay, vintage speakeasy style. High-quality photo of a Boxcar, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Gin, Triple sec, Lemon juice, Grenadine, Egg white. Instructions: In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Abilene,"Flat lay, vintage speakeasy style. High-quality photo of a Abilene, served in a cocktail glass, featuring Fruité, sucré notes. Made with Dark rum, Peach nectar, Orange juice. Instructions: Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Zambeer,"Flat lay, vintage speakeasy style. High-quality photo of a Zambeer, served in a cocktail glass, featuring Fruité notes. Made with Sambuca, Root beer, Ice. Instructions: Mix sambuca with rootbeer and stir. Add ice. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Bramble,"Flat lay, vintage speakeasy style. High-quality photo of a Bramble, served in a cocktail glass, featuring Crémeux, sucré notes. Made with Gin, lemon juice, Sugar syrup, Creme de Mure. Instructions: Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Big Red,"Flat lay, vintage speakeasy style. High-quality photo of a Big Red, served in a cocktail glass, featuring Fruité notes. Made with Irish cream, Goldschlager. Instructions: Pour ingredients into 1 ounce shot glass. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Bellini,"Flat lay, vintage speakeasy style. High-quality photo of a Bellini, served in a cocktail glass, featuring Fruité notes. Made with Champagne, Peach schnapps. Instructions: Pour peach purée into chilled flute, add sparkling wine. Stir gently.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Brooklyn,"Flat lay, vintage speakeasy style. High-quality photo of a Brooklyn, served in a cocktail glass, featuring Amer, sucré, sucré notes. Made with Rye Whiskey, Dry Vermouth, Maraschino Liqueur, Angostura Bitters, Maraschino Cherry. Instructions: Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Balmoral,"Flat lay, vintage speakeasy style. High-quality photo of a Balmoral, served in a cocktail glass, featuring Amer, sucré notes. Made with Scotch, Sweet Vermouth, Dry Vermouth, Bitters. Instructions: In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Snowball,"Flat lay, vintage speakeasy style. High-quality photo of a Snowball, served in a cocktail glass, featuring Fruité notes. Made with Advocaat, Lemonade, Lemon, Ice. Instructions: Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Danbooka,"Flat lay, vintage speakeasy style. High-quality photo of a Danbooka, served in a cocktail glass, featuring Fruité notes. Made with Coffee, Everclear. Instructions: pour it in and mix it.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Bluebird,"Flat lay, vintage speakeasy style. High-quality photo of a Bluebird, served in a cocktail glass, featuring Fruité notes. Made with Gin, Triple sec, Blue Curacao, Bitters, Maraschino cherry, Lemon peel. Instructions: In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
501 Blue,"Flat lay, vintage speakeasy style. High-quality photo of a 501 Blue, served in a cocktail glass, featuring Fruité notes. Made with Blue Curacao, Blueberry schnapps, Vodka, Sour mix, 7-Up. Instructions: Mix equal amounts into a glass with ice.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Pegu Club,"Flat lay, vintage speakeasy style. High-quality photo of a Pegu Club, served in a cocktail glass, featuring Acide, sucré notes. Made with Gin, Orange Curacao, Lime Juice, Angostura Bitters, Orange Bitters. Instructions: Shake, strain, up, cocktail glass. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Old Cuban,"Flat lay, vintage speakeasy style. High-quality photo of a Old Cuban, served in a cocktail glass, featuring Acide, sucré notes. Made with White Rum, Sugar Syrup, Lime Juice, Angostura Bitters, Prosecco. Instructions: Shake a handful of mint, 2oz white rum, 1oz of sugar syrup, 1oz lime juice and 2 dashes angostura bitters with ice. Double strain into a glass and top with 2oz of prosecco.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Boomerang,"Flat lay, vintage speakeasy style. High-quality photo of a Boomerang, served in a cocktail glass, featuring Amer, sucré, sucré notes. Made with Gin, Dry Vermouth, Bitters, Maraschino liqueur, Maraschino cherry. Instructions: In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Barracuda,"Flat lay, vintage speakeasy style. High-quality photo of a Barracuda, served in a cocktail glass, featuring Acide, sucré notes. Made with Rum, Galliano, Pineapple Juice, Lime Juice, Prosecco. Instructions: Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Bora Bora,"Flat lay, vintage speakeasy style. High-quality photo of a Bora Bora, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Pineapple juice, Passion fruit juice, Lemon juice, Grenadine. Instructions: Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Lunch Box,"Flat lay, vintage speakeasy style. High-quality photo of a Lunch Box, served in a cocktail glass, featuring Fruité, sucré notes. Made with Beer, Amaretto, Orange juice. Instructions: Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Jitterbug,"Flat lay, vintage speakeasy style. High-quality photo of a Jitterbug, served in a cocktail glass, featuring Acide, sucré, sucré notes. Made with Gin, Vodka, Grenadine, Lime juice, Sugar, Sugar syrup, Soda water. Instructions: Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Ace,"Flat lay, vintage speakeasy style. High-quality photo of a Ace, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Gin, Grenadine, Heavy cream, Milk, Egg White. Instructions: Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
ABC,"Flat lay, vintage speakeasy style. High-quality photo of a ABC, served in a cocktail glass, featuring Crémeux notes. Made with Amaretto, Baileys irish cream, Cognac. Instructions: Layered in a shot glass.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
ACID,"Flat lay, vintage speakeasy style. High-quality photo of a ACID, served in a cocktail glass, featuring Fruité notes. Made with 151 proof rum, Wild Turkey. Instructions: Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Boxcar,"Flat lay, vintage speakeasy style. High-quality photo of a Boxcar, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Gin, Triple sec, Lemon juice, Grenadine, Egg white. Instructions: In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Casino,"Flat lay, vintage speakeasy style. High-quality photo of a Casino, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Gin, Maraschino liqueur, Lemon juice, Orange bitters, Cherry. Instructions: Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Victor,"Flat lay, vintage speakeasy style. High-quality photo of a Victor, served in a cocktail glass, featuring Amer, sucré notes. Made with Gin, Sweet Vermouth, Brandy. Instructions: Shake all ingredients with ice, strain into a cocktail glass, and serve.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Scooter,"Flat lay, vintage speakeasy style. High-quality photo of a Scooter, served in a cocktail glass, featuring Fruité notes. Made with Brandy, Amaretto, Light cream. Instructions: Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Sidecar,"Flat lay, vintage speakeasy style. High-quality photo of a Sidecar, served in a cocktail glass, featuring Fruité, sucré notes. Made with Cognac, Cointreau, Lemon juice. Instructions: Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Sazerac,"Flat lay, vintage speakeasy style. High-quality photo of a Sazerac, served in a cocktail glass, featuring Fumé, sucré notes. Made with Ricard, Sugar, Peychaud bitters, Water, Bourbon, Lemon peel. Instructions: Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Acapulco,"Flat lay, vintage speakeasy style. High-quality photo of a Acapulco, served in a cocktail glass, featuring Acide, sucré notes. Made with Light rum, Triple sec, Lime juice, Sugar, Egg white, Mint. Instructions: Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Ice Pick,"Flat lay, vintage speakeasy style. High-quality photo of a Ice Pick, served in a cocktail glass, featuring Fruité, sucré notes. Made with Vodka, Iced tea, Lemon juice. Instructions: Put Vodka in glass fill with iced tea. Stir in lemon to taste.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Applecar,"Flat lay, vintage speakeasy style. High-quality photo of a Applecar, served in a cocktail glass, featuring Fruité, sucré notes. Made with Applejack, Triple sec, Lemon juice. Instructions: Shake all ingredients with ice, strain into a cocktail glass, and serve.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Spice 75,"Flat lay, vintage speakeasy style. High-quality photo of a Spice 75, served in a cocktail glass, featuring Acide, sucré notes. Made with Sugar, Allspice, Rum, Lime Juice, Champagne, Orange spiral. Instructions: Gently warm 60g golden caster sugar in a pan with 30ml water and 1 tbsp allspice. Cook gently until the sugar has dissolved, then leave the mixture to cool. Strain through a sieve lined with a coffee filter (or a double layer of kitchen paper).

Pour 60ml of the spiced syrup into a cocktail shaker along with 200ml rum and 90ml lime juice. Shake with ice and strain between six flute glasses. Top up with 600ml champagne and garnish each with an orange twist.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Godchild,"Flat lay, vintage speakeasy style. High-quality photo of a Godchild, served in a cocktail glass, featuring Fruité notes. Made with Vodka, Amaretto, Heavy cream. Instructions: Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Buccaneer,"Flat lay, vintage speakeasy style. High-quality photo of a Buccaneer, served in a cocktail glass, featuring Fruité notes. Made with Corona, Bacardi Limon. Instructions: Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Applejack,"Flat lay, vintage speakeasy style. High-quality photo of a Applejack, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Jack Daniels, Midori melon liqueur, Sour mix. Instructions: Add all ingredients into mixing glass, chill and strain into cocktail glass. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Old Cuban,"Flat lay, vintage speakeasy style. High-quality photo of a Old Cuban, served in a cocktail glass, featuring Acide, sucré notes. Made with White Rum, Sugar Syrup, Lime Juice, Angostura Bitters, Prosecco. Instructions: Shake a handful of mint, 2oz white rum, 1oz of sugar syrup, 1oz lime juice and 2 dashes angostura bitters with ice. Double strain into a glass and top with 2oz of prosecco.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Americano,"Flat lay, vintage speakeasy style. High-quality photo of a Americano, served in a cocktail glass, featuring Amer, sucré notes. Made with Campari, Sweet Vermouth, Lemon peel, Orange peel. Instructions: Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Pegu Club,"Flat lay, vintage speakeasy style. High-quality photo of a Pegu Club, served in a cocktail glass, featuring Acide, sucré notes. Made with Gin, Orange Curacao, Lime Juice, Angostura Bitters, Orange Bitters. Instructions: Shake, strain, up, cocktail glass. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Barracuda,"Flat lay, vintage speakeasy style. High-quality photo of a Barracuda, served in a cocktail glass, featuring Acide, sucré notes. Made with Rum, Galliano, Pineapple Juice, Lime Juice, Prosecco. Instructions: Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
French 75,"Flat lay, vintage speakeasy style. High-quality photo of a French 75, served in a cocktail glass, featuring Fruité, sucré notes. Made with Gin, Sugar, Lemon juice, Champagne, Orange, Maraschino cherry. Instructions: Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Egg Cream,"Flat lay, vintage speakeasy style. High-quality photo of a Egg Cream, served in a cocktail glass, featuring Fruité, sucré notes. Made with Chocolate syrup, Milk, Soda water. Instructions: Mix syrup and milk in a fountain glass. Add soda water, serve with a straw.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Michelada,"Flat lay, vintage speakeasy style. High-quality photo of a Michelada, served in a cocktail glass, featuring Acide, sucré, salé notes. Made with Beer, Tomato Juice, Lime Juice, Hot Sauce, Worcestershire Sauce, Soy Sauce. Instructions: Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.
Served In a chilled, salt-rimmed glass
. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Avalanche,"Flat lay, vintage speakeasy style. High-quality photo of a Avalanche, served in a cocktail glass, featuring Fruité notes. Made with Crown Royal, Kahlua, Cream. Instructions: Mix in highball glass over ice, shake well.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Rum Punch,"Flat lay, vintage speakeasy style. High-quality photo of a Rum Punch, served in a cocktail glass, featuring Fruité, épicé, sucré, épicé notes. Made with Rum, Ginger ale, Fruit punch, Orange juice, Ice. Instructions: Mix all ingredients in a punch bowl and serve.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
H.D.,"Flat lay, vintage speakeasy style. High-quality photo of a H.D., served in a cocktail glass, featuring Crémeux notes. Made with Whisky, Baileys irish cream, Coffee. Instructions: Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
